<0.0000e+00 0.0000e+00>
<1097878.856889515 1128551.9641809978>
<1100919.9902052446 1135661.9008991527>
<1103944.0592753922 1142790.9007198438>
<1106950.8993414126 1149938.8543861413>
<1109940.3459735028 1157105.6504591608>
<1112912.2351106382 1164291.1753080846>
<1115866.4031010172 1171495.3131010677>
<1118802.6867428962 1178717.945797043>
<1121720.9233257882 1185958.953138438>
<1124620.9506720053 1193218.2126448164>
<1127502.6071785174 1200495.5996074514>
<1130365.7318591059 1207790.9870848483>
<1133210.164386786 1215104.2458992193>
<1136035.7451364745 1222435.2446339238>
<1138842.3152278743 1229783.849631881>
<1141629.7165685552 1237149.9249949642>
<1144397.7918972 1244533.3325843778>
<1147146.3848269945 1251933.9320220328>
<1149875.3398891306 1259351.5806929157>
<1152584.5025764005 1266786.1337484624>
<1155273.7193868533 1274237.4441109372>
<1157942.8378674856 1281705.3624788201>
<1160591.7066579435 1289189.7373332058>
<1163220.1755342067 1296690.4149452136>
<1165828.095452227 1304207.2393844095>
<1168415.3185914964 1311740.0525282393>
<1170981.6983985181 1319288.694072473>
<1173527.0896301516 1326853.0015426558>
<1176051.3483968072 1334432.8103065637>
<1178554.332205463 1342027.953587662>
<1181035.9000024772 1349638.2624795577>
<1183495.9122161716 1357263.5659614448>
<1185934.2307991579 1364903.6909145333>
<1188350.7192703823 1372558.4621394565>
<1190745.2427568638 1380227.7023746474>
<1193117.668035099 1387911.2323156777>
<1195467.8635721116 1395608.870635548>
<1197795.6995661175 1403320.4340059198>
<1200101.0479867873 1411045.7371192814>
<1202383.7826150772 1418784.5927120303>
<1204643.7790826082 1426536.8115884657>
<1206880.9149105689 1434302.2026456762>
<1209095.0695481214 1442080.5728993078>
<1211286.124410286 1449871.7275102013>
<1213453.962915286 1457675.469811881>
<1215598.4705213285 1465491.601338883>
<1217719.534762804 1473319.9218559037>
<1219817.0452858827 1481160.2293877553>
<1221890.8938834898 1489012.3202501093>
<1223940.9745296394 1496875.9890810112>
<1225967.1834131107 1504751.0288731498>
<1227969.418970448 1512637.2310068603>
<1229947.5819182685 1520534.3852838452>
<1231901.5752848599 1528442.2799615916>
<1233831.3044410548 1536360.7017884667>
<1235736.6771303648 1544289.4360394713>
<1237617.6034983615 1552228.2665526317>
<1239473.9961212901 1560176.9757660078>
<1241305.7700339027 1568135.3447552978>
<1243112.8427564995 1576103.15327202>
<1244895.134321166 1584080.1797822467>
<1246652.567297195 1592066.201505873>
<1248385.0668156852 1600060.9944563943>
<1250092.5605933028 1608064.3334811763>
<1251774.9789552023 1616075.9923021898>
<1253432.2548570945 1624095.7435571926>
<1255064.323906457 1632123.3588413338>
<1256671.1243828773 1640158.6087491603>
<1258252.5972575252 1648201.2629170015>
<1259808.6862117487 1656251.0900657119>
<1261339.3376547873 1664307.8580437475>
<1262844.500740599 1672371.3338705555>
<1264324.127383798 1680441.2837802542>
<1265778.1722747008 1688517.4732655815>
<1267206.592893477 1696599.6671220902>
<1268609.3495234041 1704687.6294925686>
<1269986.405263225 1712781.1239116625>
<1271337.726038609 1720879.9133506825>
<1272663.2806127132 1728983.7602625678>
<1273963.0405958507 1737092.4266269922>
<1275236.9804542603 1745205.6739955877>
<1276485.0775179847 1753323.2635372656>
<1277707.3119878569 1761444.956083615>
<1278903.6669415992 1769570.5121743595>
<1280074.1283390373 1777699.6921028495>
<1281218.6850264326 1785832.2559615737>
<1282337.32873994 1793967.963687668>
<1283430.0541081922 1802106.5751084045>
<1284496.8586540194 1810247.8499866396>
<1285537.7427953074 1818391.5480662058>
<1286552.709845001 1826537.4291172277>
<1287541.7660102604 1834685.2529813424>
<1288504.920390775 1842834.7796168113>
<1289442.1849762446 1850985.7691435032>
<1290353.574643034 1859137.9818877315>
<1291239.1071500082 1867291.1784269325>
<1292098.8031335582 1875445.1196341666>
<1292932.686101825 1883599.5667224252>
<1293740.7824281296 1891754.281288733>
<1294523.1213436206 1899909.025358027>
<1295279.7349291458 1908063.5614267983>
