<5.7900e+10 0.0000e+00>
<-2.5612327148549E10 5.146955747557145E10>
<-2.668962297362059E10 5.092735931282155E10>
<-2.7755276333636635E10 5.03629459755329E10>
<-2.8808827044413883E10 4.9776572141031265E10>
<-2.984982069012319E10 4.916850210136011E10>
<-3.087780882723605E10 4.853900962435855E10>
<-3.1892349184788105E10 4.78883778103034E10>
<-3.2893005860859653E10 4.7216898944226006E10>
<-3.3879349515176952E10 4.652487434401734E10>
<-3.4850957557742035E10 4.58126142044367E10>
<-3.580741433340269E10 4.508043743714154E10>
<-3.674831130227827E10 4.432867150685787E10>
<-3.7673247215960915E10 4.355765226381226E10>
<-3.858182828941595E10 4.276772377254825E10>
<-3.947366836850913E10 4.195923813725119E10>
<-4.034838909309271E10 4.11325553237071E10>
<-4.120562005558609E10 4.02880429780219E10>
<-4.204499895499125E10 3.942607624222865E10>
<-4.286617174628699E10 3.854703756691118E10>
<-4.366879278515023E10 3.765131652097295E10>
<-4.445252496795664E10 3.673930959868104E10>
<-4.5217039867016975E10 3.581142002411482E10>
<-4.596201786100944E10 3.486805755314994E10>
<-4.66871482605725E10 3.3909638273107586E10>
<-4.739212942902646E10 3.2936584400199528E10>
<-4.807666889819602E10 3.1949324074899036E10>
<-4.874048347931006E10 3.0948291155367474E10>
<-4.938329936895845E10 2.9933925009066055E10>
<-5.000485225008979E10 2.8906670302681618E10>
<-5.060488738803742E10 2.7866976790494637E10>
<-5.118315972156486E10 2.681529910131696E10>
<-5.17394339489253E10 2.5752096524125786E10>
<-5.2273484608933495E10 2.467783279251946E10>
<-5.2785096157051506E10 2.35929758681195E10>
<-5.327406303649347E10 2.2497997723042156E10>
<-5.374018974435763E10 2.139337412156138E10>
<-5.41832908927971E10 2.027958440108375E10>
<-5.460319126524404E10 1.915711125255446E10>
<-5.49997258677049E10 1.8026440500411743E10>
<-5.537273997514721E10 1.6888060882205715E10>
<-5.572208917300148E10 1.5742463827995605E10>
<-5.604763939380438E10 1.4590143239637785E10>
<-5.634926694901201E10 1.3431595270075008E10>
<-5.6626858556014694E10 1.2267318102735416E10>
<-5.6880311360387276E10 1.1097811731147861E10>
<-5.710953295341104E10 9.923577738878075E9>
<-5.73144413849059E10 8.745119079888126E9>
<-5.749496517141351E10 7.562939859419516E9>
<-5.7651043299774155E10 6.37754511549804E9>
<-5.778262522614201E10 5.189440601156431E9>
<-5.788967087048567E10 3.99913256746849E9>
<-5.797215060662208E10 2.807127547486218E9>
<-5.8030045247834145E10 1.613932141169163E9>
<-5.806334602812365E10 4.200528013929031E8>
<-5.807205457915257E10 -7.740043788787148E8>
<-5.805618290292743E10 -1.9677338781752782E9>
<-5.8015753340282455E10 -3.1606309567754765E9>
<-5.795079853521862E10 -4.352191865559082E9>
<-5.786136139515665E10 -5.541914053379916E9>
<-5.774749504716323E10 -6.729296372886793E9>
<-5.760926279021047E10 -7.91383928472175E9>
<-5.7446738043529465E10 -9.095045060027172E9>
<-5.726000429111976E10 -1.0272417981195707E10>
<-5.7049155022476974E10 -1.1445464540799133E10>
<-5.681429366960153E10 -1.2613693638634604E10>
<-5.655553354035193E10 -1.3776616776828903E10>
<-5.627299774820641E10 -1.4933748252943577E10>
<-5.596681913849728E10 -1.6084605351025927E10>
<-5.563714021118224E10 -1.722870853055307E10>
<-5.528411304021771E10 -1.83655816132183E10>
<-5.490789918959862E10 -1.949475196751114E10>
<-5.450866962612987E10 -2.0615750691044415E10>
<-5.40866046289943E10 -2.1728112790583817E10>
<-5.3641893696182014E10 -2.2831377359737213E10>
<-5.317473544784581E10 -2.3925087754263042E10>
<-5.268533752664741E10 -2.500879176495888E10>
<-5.217391649515879E10 -2.6082041788093185E10>
<-5.164069773038278E10 -2.714439499334492E10>
<-5.108591531545667E10 -2.819541348921757E10>
<-5.050981192860232E10 -2.9234664485895718E10>
<-4.991263872938574E10 -3.026172045551394E10>
<-4.929465524234888E10 -3.1276159289809464E10>
<-4.865612923807545E10 -3.2277564455131474E10>
<-4.799733661175269E10 -3.3265525144781456E10>
<-4.731856125928991E10 -3.423963642866046E10>
<-4.662009495105427E10 -3.519949940020044E10>
<-4.59022372032838E10 -3.6144721320558235E10>
<-4.516529514723675E10 -3.707491576005199E10>
<-4.440958339613586E10 -3.7989702736821045E10>
<-4.363542390996553E10 -3.8888708852691505E10>
<-4.284314585817904E10 -3.9771567426230705E10>
<-4.2033085480372314E10 -4.0637918622975075E10>
<-4.120558594498011E10 -4.148740958281667E10>
<-4.036099720604961E10 -4.231969454453473E10>
<-3.9499675858145805E10 -4.313443496745945E10>
<-3.8621984989442314E10 -4.393129965025618E10>
<-3.772829403305038E10 -4.470996484681878E10>
<-3.681897861663825E10 -4.547011437926183E10>
<-3.589442041039238E10 -4.621143974800211E10>
<-3.49550069733709E10 -4.69336402389202E10>
<-3.400113159829949E10 -4.763642302759391E10>
<-3.3033193154858654E10 -4.831950328059574E10>
<-3.2051595931511E10 -4.898260425384688E10>
<-3.105674947591621E10 -4.96254573880211E10>
<-3.004906843398078E10 -5.024780240099199E10>
<-2.9028972387588963E10 -5.084938737731751E10>
<-2.7996885691060574E10 -5.14299688547563E10>
<-2.6953237306380817E10 -5.198931190781015E10>
<-2.589846063724654E10 -5.2527190228287704E10>
<-2.4832993361972782E10 -5.304338620288442E10>
<-2.375727726530291E10 -5.353769098777411E10>
<-2.267175806916501E10 -5.400990458020752E10>
<-2.1576885262416748E10 -5.445983588711359E10>
<-2.0473111929620354E10 -5.488730279069903E10>
<-1.93608945788889E10 -5.5292132211042E10>
<-1.8240692968844627E10 -5.5674160165675705E10>
<-1.7112969934729616E10 -5.60332318261577E10>
<-1.5978191213708702E10 -5.6369201571620674E10>
<-1.4836825269404219E10 -5.6681933039300575E10>
<-1.3689343115701742E10 -5.6971299172037636E10>
<-1.25362181398658E10 -5.723718226274606E10>
<-1.1377925925004179E10 -5.7479473995847855E10>
<-1.0214944071919247E10 -5.769807548566617E10>
<-9.04775202038456E9 -5.789289731177355E10>
<-7.876830869884779E9 -5.806385955129021E10>
<-6.70266319985688E9 -5.821089180812723E10>
<-5.525732889470499E9 -5.8333933239169754E10>
<-4.346524936985229E9 -5.843293257739464E10>
<-3.165525278722664E9 -5.850784815191719E10>
<-1.9832206076910155E9 -5.855864790496126E10>
<-8.000981919001751E8 -5.85853094057469E10>
<3.833543075947876E8 -5.858781986128951E10>
<1.566649018883577E9 -5.856617612410428E10>
<2.7492980415857816E9 -5.852038469680957E10>
<3.9308136293926353E9 -5.845046173362268E10>
<5.110708372726679E9 -5.8356433038741264E10>
<6.288495381480281E9 -5.823833406160359E10>
<7.463688467793652E9 -5.809620988902064E10>
<8.63580232883263E9 -5.793011523417283E10>
<9.804352729526123E9 -5.77401144224643E10>
<1.0968856685222637E10 -5.752628137422725E10>
<1.2128832644224907E10 -5.728869958426901E10>
<1.3283800670161058E10 -5.70274620982544E10>
<1.44332826241503E10 -5.6742671485915794E10>
<1.5576802346720474E10 -5.643443981108341E10>
