<2.2790e+11 0.0000e+00>
<1.8067806358647488E11 1.3842477183271652E11>
<1.8030937043672025E11 1.3890227407227362E11>
<1.799394093228437E11 1.393787995420753E11>
<1.7956818282191617E11 1.398543448720575E11>
<1.7919569351998117E11 1.4032890669889777E11>
<1.7882194401203745E11 1.4080248166603915E11>
<1.7844693690202158E11 1.4127506642371417E11>
<1.7807067480279047E11 1.4174665762896863E11>
<1.776931603361039E11 1.4221725194568558E11>
<1.77314396132607E11 1.4268684604460904E11>
<1.7693438483181238E11 1.4315543660336777E11>
<1.7655312908208273E11 1.43623020306499E11>
<1.761706315406128E11 1.440895938454721E11>
<1.7578689487341162E11 1.4455515391871228E11>
<1.754019217552847E11 1.45019697231624E11>
<1.7501571486981598E11 1.4548322049661462E11>
<1.7462827690934976E11 1.4594572043311798E11>
<1.742396105749727E11 1.4640719376761768E11>
<1.7384971857649557E11 1.4686763723367056E11>
<1.7345860363243518E11 1.4732704757193008E11>
<1.730662684699959E11 1.4778542153016965E11>
<1.726727158250515E11 1.482427558633058E11>
<1.7227794844212662E11 1.4869904733342148E11>
<1.7188196907437833E11 1.4915429270978928E11>
<1.714847804835776E11 1.4960848876889444E11>
<1.7108638544009073E11 1.5006163229445807E11>
<1.7068678672286066E11 1.5051372007746005E11>
<1.702859871193882E11 1.5096474891616214E11>
<1.6988398942571344E11 1.5141471561613086E11>
<1.6948079644639664E11 1.518636169902604E11>
<1.690764109944995E11 1.523114498587955E11>
<1.6867083589156616E11 1.5275821104935422E11>
<1.682640739676041E11 1.532038973969507E11>
<1.678561280610651E11 1.5364850574401794E11>
<1.674470010188261E11 1.5409203294043033E11>
<1.6703669569617E11 1.5453447584352637E11>
<1.666252149567663E11 1.549758313181312E11>
<1.6621256167265176E11 1.5541609623657913E11>
<1.6579873872421115E11 1.5585526747873608E11>
<1.6538374900015762E11 1.5629334193202203E11>
<1.6496759539751328E11 1.5673031649143338E11>
<1.6455028082158954E11 1.5716618805956528E11>
<1.641318081859675E11 1.576009535466339E11>
<1.637121804124783E11 1.5803460987049866E11>
<1.6329140043118326E11 1.584671539566844E11>
<1.6286947118035413E11 1.588985827384035E11>
<1.6244639560645312E11 1.59328893156578E11>
<1.620221766641131E11 1.5975808215986154E11>
<1.6159681731611743E11 1.6018614670466144E11>
<1.6117032053337997E11 1.6061308375516052E11>
<1.6074268929492502E11 1.6103889028333908E11>
<1.6031392658786697E11 1.6146356326899667E11>
<1.5988403540739023E11 1.6188709969977383E11>
<1.594530187567288E11 1.6230949657117392E11>
<1.5902087964714597E11 1.627307508865847E11>
<1.585876210979139E11 1.6315085965729993E11>
<1.5815324613629315E11 1.6356981990254108E11>
<1.5771775779751202E11 1.6398762864947873E11>
<1.5728115912474612E11 1.6440428293325403E11>
<1.568434531690976E11 1.648197797970002E11>
<1.5640464298957446E11 1.652341162918639E11>
<1.5596473165306985E11 1.6564728947702634E11>
<1.5552372223434113E11 1.6605929641972482E11>
<1.5508161781598898E11 1.6647013419527377E11>
<1.5463842148843658E11 1.668797998870859E11>
<1.5419413634990848E11 1.6728829058669342E11>
<1.5374876550640952E11 1.6769560339376895E11>
