<1.4960e+11 0.0000e+00>
<-1.0879052337007906E11 1.028382213878479E11>
<-1.0930209798322462E11 1.0229734376283774E11>
<-1.098109713342967E11 1.017539380665081E11>
<-1.1031713095990405E11 1.0120801783287758E11>
<-1.1082056446489157E11 1.00659596657108E11>
<-1.1132125952263719E11 1.001086881951562E11>
<-1.1181920387534695E11 9.955530616342441E10>
<-1.1231438533434825E11 9.899946433840915E10>
<-1.1280679178038129E11 9.844117655634889E10>
<-1.1329641116388861E11 9.788045671287021E10>
<-1.1378323150530289E11 9.731731876263261E10>
<-1.1426724089533278E11 9.675177671897198E10>
<-1.1474842749524698E11 9.618384465354274E10>
<-1.1522677953715642E11 9.561353669595854E10>
<-1.1570228532429454E11 9.50408670334318E10>
<-1.1617493323129576E11 9.446584991041174E10>
<-1.1664471170447198E11 9.388849962822128E10>
<-1.1711160926208731E11 9.330883054469247E10>
<-1.1757561449463083E11 9.272685707380077E10>
<-1.1803671606508746E11 9.214259368529794E10>
<-1.1849490270920699E11 9.15560549043438E10>
<-1.1895016323577109E11 9.096725531113654E10>
<-1.1940248652685854E11 9.037620954054195E10>
<-1.1985186153810841E11 8.978293228172131E10>
<-1.2029827729898145E11 8.918743827775813E10>
<-1.2074172291301942E11 8.85897423252836E10>
<-1.2118218755810262E11 8.798985927410085E10>
<-1.216196604867053E11 8.738780402680803E10>
<-1.2205413102614938E11 8.678359153842024E10>
<-1.2248558857885594E11 8.617723681599016E10>
<-1.2291402262259497E11 8.556875491822765E10>
<-1.2333942271073306E11 8.495816095511812E10>
<-1.2376177847247916E11 8.434547008753976E10>
<-1.241810796131283E11 8.373069752687965E10>
<-1.2459731591430345E11 8.311385853464876E10>
<-1.2501047723419537E11 8.249496842209575E10>
<-1.2542055350780037E11 8.187404254981982E10>
<-1.2582753474715619E11 8.125109632738231E10>
<-1.2623141104157591E11 8.06261452129173E10>
<-1.2663217255787975E11 7.999920471274113E10>
<-1.2702980954062494E11 7.937029038096085E10>
<-1.2742431231233362E11 7.873941781908159E10>
<-1.2781567127371861E11 7.810660267561296E10>
<-1.2820387690390732E11 7.747186064567432E10>
<-1.2858891976066347E11 7.683520747059914E10>
<-1.2897079048060695E11 7.619665893753825E10>
<-1.2934947977943155E11 7.555623087906218E10>
<-1.297249784521207E11 7.491393917276242E10>
<-1.3009727737316112E11 7.42697997408518E10>
<-1.3046636749675452E11 7.362382854976382E10>
<-1.308322398570272E11 7.297604160975107E10>
<-1.3119488556823763E11 7.232645497448267E10>
<-1.3155429582498186E11 7.167508474064084E10>
<-1.3191046190239713E11 7.102194704751648E10>
<-1.3226337515636317E11 7.036705807660384E10>
<-1.3261302702370157E11 6.971043405119435E10>
<-1.3295940902237303E11 6.905209123596947E10>
<-1.3330251275167259E11 6.839204593659273E10>
<-1.3364232989242274E11 6.773031449930085E10>
<-1.3397885220716452E11 6.706691331049404E10>
<-1.343120715403464E11 6.640185879632543E10>
<-1.346419798185113E11 6.573516742228965E10>
<-1.3496856905048132E11 6.506685569281059E10>
<-1.3529183132754048E11 6.4396940150828384E10>
<-1.3561175882361534E11 6.3725437377385506E10>
<-1.3592834379545355E11 6.3052363991212135E10>
<-1.3624157858280031E11 6.237773664831073E10>
<-1.3655145560857265E11 6.170157204153979E10>
<-1.3685796737903171E11 6.1023886900196884E10>
<-1.3716110648395287E11 6.034469798960094E10>
<-1.3746086559679373E11 5.966402211067374E10>
<-1.3775723747486008E11 5.8981876099520744E10>
<-1.3805021495946964E11 5.829827682701116E10>
<-1.3833979097611377E11 5.76132411983573E10>
<-1.3862595853461703E11 5.692678615269326E10>
<-1.389087107292946E11 5.623892866265289E10>
<-1.391880407391075E11 5.554968573394711E10>
<-1.3946394182781607E11 5.4859074404940544E10>
<-1.3973640734413068E11 5.416711174622748E10>
<-1.4000543072186087E11 5.347381486020722E10>
<-1.402710054800621E11 5.277920088065881E10>
<-1.4053312522318036E11 5.208328697231508E10>
<-1.4079178364119476E11 5.138609033043611E10>
<-1.410469745097579E11 5.0687628180382126E10>
<-1.4129869169033405E11 4.998791777718575E10>
<-1.4154692913033533E11 4.92869764051237E10>
<-1.417916808632556E11 4.8584821377287926E10>
<-1.420329410088024E11 4.788147003515614E10>
<-1.4227070377302634E11 4.7176939748161896E10>
<-1.4250496344844888E11 4.6471247913264015E10>
<-1.427357144141876E11 4.5764411954515564E10>
<-1.429629511360793E11 4.50564493226323E10>
<-1.4318666816680124E11 4.434737749456061E10>
<-1.4340686014598984E11 4.363721397304493E10>
<-1.4362352180035757E11 4.292597628619474E10>
<-1.4383664794380743E11 4.2213681987051025E10>
<-1.4404623347754538E11 4.1500348653152306E10>
<-1.4425227339019064E11 4.078599388610022E10>
<-1.4445476275788373E11 4.0070635311124664E10>
<-1.4465369674439246E11 3.935429057664848E10>
<-1.4484907060121558E11 3.863697735385178E10>
<-1.450408796676845E11 3.7918713336235794E10>
<-1.4522911937106268E11 3.719951623918636E10>
<-1.4541378522664282E11 3.647940379953705E10>
<-1.4559487283784204E11 3.575839377513185E10>
<-1.4577237789629477E11 3.5036503944387566E10>
<-1.459462961819435E11 3.431375210585579E10>
<-1.461166235631274E11 3.3590156077784584E10>
<-1.4628335599666864E11 3.2865733697679806E10>
<-1.4644648952795667E11 3.2140502821866116E10>
<-1.4660602029103033E11 3.1414481325047676E10>
<-1.4676194450865775E11 3.068768709986854E10>
<-1.4691425849241388E11 2.9960138056472782E10>
<-1.4706295864275632E11 2.9231852122064297E10>
<-1.4720804144909842E11 2.850284724046638E10>
<-1.4734950348988068E11 2.777314137168103E10>
