<1.0820e+11 0.0000e+00>
<-1.0607880047177803E11 1.986506378616068E10>
<-1.06240011216678E11 1.900278243827223E10>
<-1.0639421478044722E11 1.813924784377153E10>
<-1.0654140164144725E11 1.727451706853165E10>
<-1.0668156274472758E11 1.6408647247112103E10>
<-1.068146895024586E11 1.554169557891164E10>
<-1.0694077379433229E11 1.4673719324319456E10>
<-1.0705980796793077E11 1.3804775800865067E10>
<-1.0717178483906274E11 1.2934922379367144E10>
<-1.0727669769206776E11 1.2064216480081593E10>
<-1.0737454028008841E11 1.1192715568849127E10>
<-1.0746530682531042E11 1.032047715324263E10>
<-1.0754899201917078E11 9.44755877871457E9>
<-1.0762559102253369E11 8.574018024744739E9>
<-1.0769509946583478E11 7.699912500988592E9>
<-1.0775751344919316E11 6.825299843426452E9>
<-1.0781282954249171E11 5.95023771051385E9>
<-1.0786104478542549E11 5.074783779333279E9>
<-1.0790215668751826E11 4.198995741747611E9>
<-1.0793616322810736E11 3.322931300555469E9>
<-1.0796306285629677E11 2.4466481656487923E9>
<-1.0798285449087857E11 1.570204050172885E9>
<-1.0799553752022273E11 6.936566666891952E8>
<-1.080011118021354E11 -1.829362766589023E8>
<-1.0799957766368568E11 -1.0595170799770631E9>
<-1.0799093590100093E11 -1.9360280554474058E9>
<-1.0797518777903072E11 -2.8124115311521606E9>
<-1.0795233503127946E11 -3.6886098548932757E9>
<-1.0792237985950784E11 -4.564565398007722E9>
<-1.07885324933403E11 -5.440220559178239E9>
<-1.0784117339021765E11 -6.315517768239268E9>
<-1.0778992883437817E11 -7.190399489977818E9>
<-1.0773159533706172E11 -8.064808227929002E9>
<-1.0766617743574245E11 -8.938686528166008E9>
<-1.0759368013370697E11 -9.81197698308424E9>
<-1.0751410889953908E11 -1.0684622235179375E10>
<-1.0742746966657379E11 -1.1556564980819109E10>
<-1.0733376883232094E11 -1.2427747974008316E10>
<-1.0723301325785817E11 -1.3298114030147396E10>
<-1.0712521026719368E11 -1.416760602978356E10>
<-1.070103676465986E11 -1.5036166922354792E10>
<-1.068884936439092E11 -1.5903739729926277E10>
<-1.0675959696779898E11 -1.6770267550919027E10>
<-1.0662368678702086E11 -1.7635693563830475E10>
<-1.0648077272961934E11 -1.84999610309468E10>
<-1.0633086488211292E11 -1.9363013302046734E10>
<-1.061739737886468E11 -2.0224793818096638E10>
<-1.0601011045011604E11 -2.1085246114936584E10>
<-1.0583928632325916E11 -2.194431382695724E10>
<-1.0566151331972238E11 -2.2801940690767284E10>
<-1.0547680380509465E11 -2.365807054885117E10>
<-1.0528517059791342E11 -2.4512647353216972E10>
<-1.0508662696864142E11 -2.5365615169034103E10>
<-1.048811866386145E11 -2.6216918178260666E10>
<-1.0466886377896068E11 -2.7066500683260227E10>
<-1.0444967300949043E11 -2.791430711040779E10>
<-1.0422362939755843E11 -2.876028201368472E10>
<-1.0399074845689685E11 -2.9604370078262432E10>
<-1.0375104614642032E11 -3.0446516124074615E10>
<-1.0350453886900261E11 -3.128666510937775E10>
<-1.0325124347022536E11 -3.2124762134299747E10>
<-1.0299117723709871E11 -3.296075244437645E10>
<-1.0272435789675418E11 -3.379458143407582E10>
<-1.0245080361510983E11 -3.462619465030958E10>
<-1.0217053299550787E11 -3.5455537795932076E10>
<-1.0188356507732481E11 -3.628255673322625E10>
<-1.0158991933455432E11 -3.710719748737635E10>
<-1.012896156743629E11 -3.792940624992736E10>
<-1.0098267443561859E11 -3.874912938223078E10>
<-1.0066911638739276E11 -3.956631341887669E10>
<-1.0034896272743509E11 -4.038090507111179E10>
<-1.0002223508062204E11 -4.119285123024328E10>
<-9.968895549737881E10 -4.200209897102834E10>
<-9.9349146452075E10 -4.2808595555049126E10>
<-9.900283084139404E10 -4.361228843407287E10>
<-9.865003198267668E10 -4.441312525339712E10>
<-9.829077361223853E10 -4.521105385517981E10>
<-9.79250798836619E10 -4.600602228175396E10>
<-9.755297536606209E10 -4.679797877892688E10>
<-9.717448504232816E10 -4.758687179926367E10>
<-9.678963430733853E10 -4.837265000535479E10>
<-9.63984489661514E10 -4.915526227306757E10>
<-9.60009552321702E10 -4.993465769478147E10>
<-9.559717972528424E10 -5.071078558260687E10>
<-9.518714946998476E10 -5.148359547158727E10>
<-9.477089189345634E10 -5.22530371228847E10>
<-9.434843482364417E10 -5.301906052694809E10>
<-9.391980648729694E10 -5.378161590666462E10>
<-9.34850355079859E10 -5.454065372049365E10>
<-9.304415090409993E10 -5.529612466558321E10>
<-9.2597182086817E10 -5.604797968086884E10>
<-9.214415885805205E10 -5.67961699501546E10>
<-9.168511140838155E10 -5.75406469051761E10>
<-9.122007031494487E10 -5.828136222864539E10>
<-9.074906653932259E10 -5.901826785727756E10>
<-9.027213142539195E10 -5.975131598479879E10>
<-8.978929669715967E10 -6.048045906493592E10>
<-8.930059445657214E10 -6.12056498143871E10>
<-8.880605718130342E10 -6.192684121577357E10>
<-8.830571772252087E10 -6.2643986520572334E10>
<-8.779960930262894E10 -6.335703925202963E10>
<-8.728776551299101E10 -6.406595320805493E10>
<-8.677022031162968E10 -6.477068246409548E10>
<-8.624700802090546E10 -6.54711813759911E10>
<-8.57181633251742E10 -6.616740458280918E10>
<-8.518372126842343E10 -6.685930700965972E10>
<-8.464371725188771E10 -6.754684387049018E10>
<-8.409818703164314E10 -6.822997067086015E10>
<-8.35471667161814E10 -6.89086432106956E10>
